words,freq
expense,19.364193770094744
audio,19.265586965330968
missing,19.238231679559775
type,19.19157847513135
run,19.056309897467727
august,19.019084644797985
active,18.971730946914953
receive,18.80090879839402
material,18.65082881978265
driver,18.55814016583891
excel,18.46023951952283
outage,18.40148816391487
old,18.199114032813295
per,18.151125089781385
via,18.073872126614873
job,18.048606215098346
sign,17.952940436670364
client,17.829869981730706
correct,17.789997693611685
space,17.731929315099688
dell,17.682204658286253
last,17.681839689720636
click,17.66121467767817
load,17.59553592991982
hub,17.39826255088423
sir,17.397207841960554
group,17.173162267351515
blocked,17.096843681505966
day,17.07048821652495
found,16.881162765400056
shot,16.767930978445584
confirmed,16.744464141793863
many,16.667673870039156
wrong,16.545799817494228
interface,16.529928043083753
times,16.26550089487364
display,16.09937327697755
list,16.0083761156971
machine,15.98402628399098
document,15.975622722817413
code,15.897897022525362
give,15.85311638748804
external,15.82201891806246
doesnt,15.78876274790753
printing,15.742322716583015
make,15.664009321166596
refer,15.59357208184407
unlocked,15.352620004197778
disk,15.292439129108624
used,15.273374746005254
maintenance,15.263279292277465
vendor,15.182733130522534
item,15.171536103022389
fine,15.156089868066736
complete,15.049992003619765
multiple,15.041256880892648
two,15.00344390287731
sie,14.887648253052733
net,14.6124056773656
submit,14.59917740143305
um,14.429267766996517
want,14.360884945750989
show,14.35612814970787
date,14.343277218251927
certificate,14.340741096368047
loading,14.283305654065618
desk,14.189032784616236
sync,14.18509558239976
someone,14.131013240568493
remote,14.08681161200409
checked,13.976010074882746
full,13.928374161136695
es,13.907876341539748
dont,13.86370944626475
longer,13.785048333995343
upgrade,13.723934902420456
local,13.688248622055934
high,13.662595660749718
days,13.517393258218096
home,13.512983294979854
setup,13.350490474547465
installation,13.325702010972451
currently,13.29188129567658
every,13.282130866100248
transaction,13.248259808246285
even,13.202130251820602
analysis,13.134444046329897
logging,13.074327149613598
needful,13.063336992094989
take,13.030225402975477
already,12.993949409268547
go,12.908332245804392
engineer,12.902546199012509
security,12.895194802244008
caller,12.890161369293164
guest,12.745842404822577
well,12.743233635436091
save,12.691452338938019
global,12.505871980742464
agent,12.502740570761441
warning,12.477228502598317
delete,12.413555652363932
select,12.401437907229113
yesterday,12.377147508300697
notification,12.32532676767234
ie,12.315785864075941
tab,12.28063171712202
interaction,12.27535092503546
wird,12.209149715332948
may,12.138727912093554
several,12.135333628528935
po,12.083491623409003
lock,12.07197497059562
week,12.024474909647031
done,12.019746440397114
personal,11.968154336614937
added,11.766475693145061
blank,11.762583690463073
total,11.750420438492934
assign,11.730207596178996
exchange,11.696059122570718
version,11.682419746314997
works,11.546479888529557
coming,11.529809706725226
switch,11.495726503046361
calendar,11.48730197926862
provider,11.4793829509786
web,11.473989583015692
immediately,11.394418986108784
training,11.393842291270788
remove,11.306204662615503
automatically,11.252325656784764
notified,11.214023671027228
investigate,11.206852980985664
internal,11.194739261644905
stopped,11.163442298814823
correctly,11.110939586229389
disconnected,11.059461900140809
line,11.0182136251687
configure,10.975806339297328
option,10.901017873375611
review,10.885029328925405
product,10.877298966146736
wireless,10.8568500168503
response,10.796151992782915
current,10.794337138741282
search,10.775875966214022
stock,10.743114623081008
license,10.724961015157136
activation,10.677234434647039
disabled,10.651967068774447
model,10.650512845495037
restart,10.633982397502415
form,10.625264278669702
warm,10.583645682617378
cost,10.532815293970994
next,10.45914344142947
sure,10.43951060430651
facing,10.434066259071086
area,10.429581789426546
priority,10.407774359241012
reason,10.377857344728637
regarding,10.364476852266131
alert,10.334480250463463
lean,10.307174233351674
dynamics,10.27476063346768
approval,10.24614532901473
without,10.22696623751849
port,10.170263954038056
node,10.145163917285306
source,10.12490843922307
solve,10.114091390930259
directory,10.035911226502627
administrator,10.030924743388269
action,9.965912628536897
mailbox,9.964506665307104
price,9.943385113917639
going,9.93915119258497
sound,9.84036064242043
configuration,9.806236205473551
end,9.75711357781014
incorrect,9.746892219666782
person,9.74377851440491
nach,9.647158791089428
balancing,9.621616002491223
nothing,9.614583403619733
transfer,9.605156887377595
confirm,9.499188477498235
approve,9.426660497909552
attach,9.393832903991125
additional,9.39116590599644
supervisor,9.370526293659346
scan,9.370504743427434
distribution,9.360650817278058
another,9.353888274272993
month,9.301938468390233
quote,9.2962662144167
browser,9.232203165515973
soon,9.22388181193189
destination,9.096784722663985
turn,9.037236388043121
keep,9.035843483013386
profile,9.024969515635602
related,8.978649244704819
effective,8.97682747787545
project,8.969030626689129
copy,8.946762963865396
wont,8.92640413294384
right,8.889133094811834
host,8.87347445935326
freezing,8.801616518239184
boot,8.785405265601247
went,8.776188005215527
assigned,8.766193195606865
window,8.73635575104456
box,8.733057897628763
field,8.718737730254775
hear,8.627303682078788
de,8.531792136446024
replacement,8.508284713073097
threshold,8.418689802285265
read,8.417801777271569
german,8.398533560732131
result,8.363282520930213
example,8.35217721385263
button,8.320378526988673
tag,8.316648444243384
tablet,8.289699164049185
condition,8.275671655727631
lost,8.266083368747207
free,8.261541228530124
default,8.237237350143605
shown,8.230890031187409
inquiry,8.224820860228599
summary,8.207100074331152
side,8.20626933451485
advised,8.195394686503183
incident,8.17702725066064
partner,8.102922158486972
station,8.036871427331988
impact,7.986303211411382
entering,7.915041149701432
welcome,7.911363682946566
latitude,7.907116527415634
management,7.904985364301083
put,7.9009617881848015
description,7.899801684127377
however,7.879237207130948
recently,7.853499898944609
finance,7.833433654568895
launch,7.796801254522164
close,7.795896038309242
past,7.7873359674890725
something,7.720549677043343
provided,7.709954739065832
reference,7.70206461575016
within,7.6854908757515785
